#,Age,Gender,Weight (kg),Height (cm),Activity Level,Goal,Calories (kcal),Protein (g),Carbs (g),Fat (g)
1,25,Male,70,175,Very Active,Muscle Gain,"2,950",140,369,82
2,30,Female,65,165,Sedentary,Weight Loss,"1,650",104,144,58
3,45,Male,85,180,Active,Maintenance,"2,650",128,331,74
4,28,Female,58,162,Light Active,Muscle Gain,"2,200",93,247,61
5,35,Male,95,185,Very Active,Weight Loss,"2,950",171,332,82
6,52,Female,72,170,Sedentary,Maintenance,"1,850",86,208,64
7,23,Male,68,178,Active,Muscle Gain,"2,850",122,356,79
8,41,Female,63,163,Light Active,Weight Loss,"1,750",95,175,58
9,38,Male,82,176,Active,Maintenance,"2,650",123,331,74
10,29,Female,67,169,Very Active,Muscle Gain,"2,500",107,300,69
11,48,Male,88,179,Sedentary,Weight Loss,"2,150",132,215,72
12,31,Female,71,172,Active,Maintenance,"2,300",106,263,64
13,26,Male,74,174,Very Active,Muscle Gain,"3,050",133,381,85
14,44,Female,69,167,Light Active,Weight Loss,"1,800",104,180,60
15,33,Male,79,177,Active,Maintenance,"2,700",119,338,75
16,27,Female,61,164,Very Active,Muscle Gain,"2,400",98,288,67
17,50,Male,92,182,Sedentary,Weight Loss,"2,200",138,220,73
18,36,Female,66,168,Active,Maintenance,"2,200",99,250,61
19,24,Male,72,173,Very Active,Muscle Gain,"2,900",130,350,81
20,42,Female,64,166,Light Active,Weight Loss,"1,700",96,170,57
21,47,Male,87,181,Active,Maintenance,"2,750",131,344,76
22,32,Female,59,161,Sedentary,Muscle Gain,"2,000",95,225,56
23,39,Male,81,178,Very Active,Weight Loss,"2,800",146,325,78
24,53,Female,75,171,Light Active,Maintenance,"2,000",105,225,56
25,22,Male,69,172,Active,Muscle Gain,"2,750",124,331,76
26,37,Female,62,165,Sedentary,Weight Loss,"1,600",99,150,53
27,43,Male,89,183,Very Active,Maintenance,"3,100",160,388,86
28,34,Female,68,170,Light Active,Muscle Gain,"2,300",108,263,64
29,49,Male,84,177,Active,Weight Loss,"2,450",151,281,68
30,26,Female,57,159,Sedentary,Maintenance,"1,700",80,188,53
